,_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_toponym,_language,_source,_DELETE,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_post_quem,_source text,_editor,coords,closest_archeo,distance_to_closest_archeo
_obj ID,1.0,0.06851884089056963,0.011226056282837054,0.029971086777309804,-0.04307293532018757,0.04544929327276594,-0.09277253597541102,-0.017592073772665903,0.7515830134812217,-0.0030489636451577072,-0.011453895990625561,0.08836512213286656,0.01198154865206972,0.20827619826327037,0.11351461401084227,0.04425971188718577,0.013468226622218254,0.004564381167474724,-0.03832844568040671,0.07257075946234462,-0.028173098209450142,0.08282946486539053,0.19358792717944429,-0.07613268950277374,-0.04338568925608473,-0.03658969077444509,-0.02913227797566492
_obj type,0.06851884089056963,1.0,0.16238941017479144,0.06552884014935913,-0.16858577370985073,0.1719275983027905,-0.10123636398798003,-0.07933159862710193,0.060229348375466875,0.06746721563067216,-0.011084889849456808,0.03271379010194046,-0.005843275675162502,0.014769010718904406,-0.018243496412756976,-0.010840043653357067,0.012283094324243517,0.07210539920367857,0.06577176541677282,0.05996745670261003,0.021475723223753802,0.14747564773584257,0.0708540091318603,-0.019340217945824897,-0.16788127488714566,-0.16262901260797874,0.06573822747451108
_county,0.011226056282837054,0.16238941017479144,1.0,0.477924064906572,-0.8046499151869547,0.8089137408814454,-0.051511460634045055,0.019591244256242004,-0.014165334576597985,0.06589314088063596,0.1582737211116573,-0.22005708614271713,0.07378108923742924,-0.05042471449236406,-0.046048987642103086,-0.08449601313591007,0.009492055723868806,-0.018754778909920996,0.023808767837369453,-0.031014661057459682,0.009225936587084026,0.11554979528546613,0.014550002627321312,-0.04082174210887207,-0.7980884266231546,-0.7786100863431498,0.14108403615296863
_estate,0.029971086777309804,0.06552884014935913,0.477924064906572,1.0,-0.5365786342554202,0.5409234413056828,-0.07372418531793253,0.06512351954662422,0.016533823358917663,0.08966977118419427,0.1410695768837696,-0.22763116056152569,0.11152039218743177,-0.03311866203009935,0.008539094709653526,0.002228343739515435,0.005752472795268054,-0.048450871944097834,0.028626388419664178,-0.02271881058928483,-0.001078236925489342,0.0940876353781389,0.028683517550014186,0.032109320997603094,-0.5266085885671957,-0.5334328428225171,0.19412226921355233
_latitude,-0.04307293532018757,-0.16858577370985073,-0.8046499151869547,-0.5365786342554202,1.0,-0.9849474228091398,0.1476335474581448,-0.0169828688103471,-0.019974061456575275,-0.08231894369421394,-0.06495056557044579,0.22030255857961065,-0.08996420853817864,0.019896617597997292,0.039292321332304515,0.032518732319345614,-0.0007821239394347326,-0.021317694629466945,-0.00687972253350368,-0.003508970012924374,-0.0040428078805773504,-0.1795328902991299,-0.02172511239751949,0.058856847735502024,0.9999999367524629,0.9899305237155722,-0.007740689962126918
_longitude,0.04544929327276594,0.1719275983027905,0.8089137408814454,0.5409234413056828,-0.9849474228091398,1.0,-0.14631191208065475,0.003730603390424379,0.022687334848223484,0.08821967263869251,0.07168068090437413,-0.22624780970678676,0.08744255210344365,-0.025550902213998528,-0.03652195408919939,-0.034567157319359554,-0.0006032587425728887,0.020628345300204184,0.01506384685744143,0.005531993172628082,0.008969428265250722,0.16883794589512646,0.022808143233917843,-0.05893328707748605,-0.9849318073640098,-0.981857649708112,0.021840081684655274
_accuracy,-0.09277253597541102,-0.10123636398798003,-0.051511460634045055,-0.07372418531793253,0.1476335474581448,-0.14631191208065475,1.0,0.03527708108887955,-0.08260252758639439,-0.033639713952911224,-0.09913165618159502,0.016135461148038828,-0.03960750837615754,-0.04743286458242858,-0.011507367645105852,-0.03685189444627223,0.0015930939890454244,-0.003736410240678238,0.03171294185373916,-0.01654039111547276,-0.02957633074481991,-0.08661336242860569,-0.048031370117660344,0.008657885626973116,0.14764196060966037,0.14463362363060495,-0.01213754787597033
_distance from Daugava,-0.017592073772665903,-0.07933159862710193,0.019591244256242004,0.06512351954662422,-0.0169828688103471,0.003730603390424379,0.03527708108887955,1.0,0.0165299040260154,0.06652339151187375,0.00637878522557477,-0.003531073564486526,0.02358899289837181,0.014893828858007779,0.03023224709582351,0.009190368212354864,0.019843508041761077,0.015522551537175558,0.03347819976101934,-0.005010890662289691,0.015573314137381994,0.032133332560416,-2.4939347087626677e-06,0.02015059345925489,-0.007542230750663361,-0.04837850304257636,-0.06523958661378389
_toponym,0.7515830134812217,0.060229348375466875,-0.014165334576597985,0.016533823358917663,-0.019974061456575275,0.022687334848223484,-0.08260252758639439,0.0165299040260154,1.0,0.048890002216276485,-0.05400172806117336,0.09536858347006637,0.028036799068647287,0.287914774125609,0.11140254071868777,0.056980163299779014,0.004152405190908957,0.02920840226550896,0.009000034713660647,0.0906098021903178,-0.026629838889722247,0.09455107983940456,0.16232126274601671,-0.09560156568787438,-0.01937985204193072,-0.022800420291462467,-0.021052808977931114
_language,-0.0030489636451577072,0.06746721563067216,0.06589314088063596,0.08966977118419427,-0.08231894369421394,0.08821967263869251,-0.033639713952911224,0.06652339151187375,0.048890002216276485,1.0,-0.08721820332138286,-0.016486055448918596,0.00634790145928899,0.019660108013992095,-0.00014679777684579692,0.01122471553779924,0.019173328015908386,0.10211046736144,0.29576317823934367,0.04935890821568723,0.015051222145796597,-0.005469962933704472,0.003781535642194051,0.23105692682049198,-0.07951938966095566,-0.08816968534140683,0.00539137937984684
