,_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_toponym,_language,_source,_DELETE,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_post_quem,_source text,_editor,coords,closest_archeo,distance_to_closest_archeo
_obj ID,1.0,0.14891909930547592,0.06660706633527276,-0.030485336276556453,-0.03315348048425855,0.08247258698743194,-0.18912039161220706,0.0009376771926492061,0.6358623580308025,0.05594819828080762,0.06766037021830346,-0.034470438659658355,-0.06234373602330258,0.24709617021012276,-0.008227937494196213,0.08304469899459381,0.1631393154003193,0.020903978560414902,0.056966869570946356,0.022896517506920698,0.20580699471748992,0.10545874546556447,0.11308628589675712,-0.02896239638054496,-0.03281636002588935,-0.030565727368244106,0.0844476890968745
_obj type,0.14891909930547592,1.0,0.21598360627010782,0.14951234572451017,-0.2393598471125176,0.24850237787697962,-0.04098276999584738,-0.17064343453543146,0.11882434653885653,0.19687361433378323,0.06362519558885944,-0.273771020224425,-0.02199270918640629,0.09818299275195433,0.007174284284434942,0.06611706960540523,0.01851924694456336,0.039064271934362994,-0.013802338317187923,0.20401385437035827,0.20578078616179307,0.4161065605830079,0.21418178422816508,-0.07854528935457213,-0.2397046438112358,-0.24851058559391545,0.2455952696927864
_county,0.06660706633527276,0.21598360627010782,1.0,0.5955610387350814,-0.9441905879711143,0.9572149114540452,-0.12308563242761726,0.07028085320124487,0.040401652445700494,0.05526130974881623,-0.011711416658966098,-0.49855223965200957,-0.10369962707692115,0.004795503697502085,0.0796581208153013,-0.10651361817537133,-0.05400185466810691,0.02375479206843795,-0.08738588935056356,0.0013946434028530418,-0.013598335453553705,0.2936595856007652,0.020297844663492166,-0.169265986578116,-0.9440709372780627,-0.9445648699662065,0.015640736155079382
_estate,-0.030485336276556453,0.14951234572451017,0.5955610387350814,1.0,-0.6245943441402995,0.6121314443216277,-0.06199563041143708,0.09803649438892931,-0.03693020805679574,0.09990604244861127,0.04699402389322072,-0.41249945921078013,-0.002191970982624423,0.018519814618811407,0.17142404840686598,-0.057667384783823,-0.09975241418303751,-0.1165102956369452,-0.06909525532454139,-0.04820835651959292,-0.14039362819951584,0.21039221094031457,0.12449246145372003,-0.014820943467808356,-0.6245878348783703,-0.6147255255818873,0.02842596864052615
_latitude,-0.03315348048425855,-0.2393598471125176,-0.9441905879711143,-0.6245943441402995,1.0,-0.9732259831741795,0.13723798048693092,-0.07239322370486105,-0.020124922863182633,-0.09904538786189988,-0.007213051415800876,0.49624105842564087,0.0434710830123254,-0.022669328999610088,-0.11324012410640402,0.0955764312909952,0.05206061023248558,-0.03511970809156785,0.07711404975778066,-0.010990364337722916,-0.005402493403926849,-0.2958045039718623,-0.03125394904605301,0.08864565071586636,0.9999895784167913,0.9962827720755457,-0.06442052953238551
_longitude,0.08247258698743194,0.24850237787697962,0.9572149114540452,0.6121314443216277,-0.9732259831741795,1.0,-0.16546807333942584,0.04286200687855688,0.04361941655117621,0.10758061247010293,0.007955514898736247,-0.49893959692577844,-0.04618695649830811,0.05258687987758256,0.1257727492591894,-0.07466494811181645,-0.03339815635402914,0.04175087053249581,-0.050226956188017806,0.030713464192729148,0.01954633627258663,0.3196351976628204,0.0575913850401,-0.11170065722957584,-0.9730973642575285,-0.9755072393850353,0.016542261916679377
_accuracy,-0.18912039161220706,-0.04098276999584738,-0.12308563242761726,-0.06199563041143708,0.13723798048693092,-0.16546807333942584,1.0,0.1631554711682258,-0.08699158109278024,-0.050816761055179085,-0.08375216280755984,-0.0002097426698350742,-0.07545344329165558,-0.18824610229035998,-0.14098757664643313,-0.1439089001261033,-0.06809077071662477,-0.04715196062767231,-0.015630858872429956,0.02323201929627996,-0.06806905417864771,-0.2303095943660509,-0.12581768315794875,0.06506205689307415,0.1372364483609379,0.13035396188494644,0.21038611602415613
_distance from Daugava,0.0009376771926492061,-0.17064343453543146,0.07028085320124487,0.09803649438892931,-0.07239322370486105,0.04286200687855688,0.1631554711682258,1.0,0.060353586511894874,0.003258899432544874,-0.03490428288427149,-0.09862175459065335,-0.0031087229131147058,-0.0739628532316454,-0.03597168622965206,-0.10864731007238465,-0.10850810711051037,-0.1042505895843342,-0.0483625585985924,-0.15132887159684366,-0.11329854776938632,-0.04426189385491375,-0.06437859986142311,-0.12275990337061787,-0.07239246925285646,-0.08225539552723632,-0.09351769798451881
_toponym,0.6358623580308025,0.11882434653885653,0.040401652445700494,-0.03693020805679574,-0.020124922863182633,0.04361941655117621,-0.08699158109278024,0.060353586511894874,1.0,0.021370281739987017,-0.09414806786364005,-0.04642840467384598,-0.01642420678261797,0.38117879584935477,0.06170039648379552,0.11828800808389694,0.11313000027921445,0.09697819988452273,0.04848345511488143,0.12565711151689327,0.15306734989949525,0.1872446843321623,0.055500741336775454,-0.1577018871498053,-0.020227274110594908,-0.02249009168228104,0.03284501704218061
_language,0.05594819828080762,0.19687361433378323,0.05526130974881623,0.09990604244861127,-0.09904538786189988,0.10758061247010293,-0.050816761055179085,0.003258899432544874,0.021370281739987017,1.0,0.004646224344779339,-0.02198240529190515,0.05167796551605581,0.05665067661123944,-0.023924282257544546,0.059031237040715924,0.12978252977439228,0.17112429500787094,0.5157534068214475,0.15537215461590342,0.12416541042094431,0.1491896514672039,0.027969292364246365,0.4953106688914094,-0.09882657398248128,-0.09443091861868823,0.024061312648527153
