_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_spelling,_language,_standardized,DELETE,_source,_match factor,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_name,_period,_source text,_editor
abeles,house,443 dviete,unclear,"56,0602","26,3099",0,no,ābeles,latvian,unclear,,LĢIA 55822,n/a,no comment,"nom.-acc.pl. of âbele 'apple tree.' Also a FN (LUV), cf. Lt. Obelis (LPDB) HG Apfelbaum (DFD). | Inherited in EB as an l-stem but transferred to the i- and ē-stems, cf. Lt. dial. C-st. gen.sg. obelès~obel̃s a.o., Lv. dial. i-f âbels, Lt. i-f obelìs. Outside EB we only find forms extended with n-suffix, cf. OPr. wobalne, OCS ablanь, OIr. aball, Lat. top. Abella. If 'apple tree' was lexicalized on the basis of oblique forms of *ábōl (vel sim.) 'apple' then EB forms seem archaic. | ALEW s.v. obelìs; Derksen 2015, 339; LEW 515; Mažiulis 4, 259; ME 1, 234; SEJL 831 s.v. obelìs and obuolỹs.",no comment,inherited,reliable,original word,east baltic,apple tree,fruits,yes,modern,no comment,aigars
abeli,village,356 ābeļi,unclear,"56,4776","25,9170",0,no,ābeļi,latvian,unclear,,LĢIA 65934,n/a,no comment,"nom.pl. of ābelis, Motionsmasculinum to âbele 'apple tree.' Only exists as a personal name and a surname, cf. Lt Obelis (LPDB) HG Apfelbaum (DFD). LPV 39; LVV 1, 61 s.v. âbele.",variant of ābels ← He. habel 'breath; vapour; vanity' via HG Abel (LPV 39).,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abeliesi,house,356 ābeļi,unclear,"56,4725","25,9170",0,no,ābelieši,latvian,unclear,,LĢIA 50431,n/a,no comment,"nom.pl. of ābelietis 'apple grower.' ietis-derivation to âbele 'apple tree.' Possibly a surname, cf. Lt Obeliẽnis (LPDB) HG Appelman (DFD). AK.",no comment,inherited,reliable,original word,latvian,apple grower,horticulture; fruits,possibly,modern,no comment,aigars
abelite 1,house,436 līvāni,unclear,"56,3241","26,1864",0,no,ābelīte,latvian,unclear,,LĢIA 128131,n/a,no comment,"nom.sg. âbelīte, synchronically D to âbele 'apple tree.' Also a FN (LUV), cf. also Lt. Obeliẽnis (LPDB) HG Appelman (DFD) | Inherited in EB as l-stem but transferred to i- and ē-stems, cf. Lt. dial. C-st. gen.sg. obelès~obel̃s a.o., Lv. dial. i-f âbels, Lt. i-f obelìs. Outside EB we only find forms extended with n-suffix, cf. OPr. wobalne, OCS ablanь, OIr. aball, Lat. top. Abella. If 'apple tree' was lexicalized on the basis of oblique forms of *ábōl (vel sim.) 'apple' then EB forms seem archaic. | ALEW s.v. obelìs; Derksen 2015, 339; LEW 515; Mažiulis 4, 259; ME 1, 234; SEJL 831 s.v. obelìs and obuolỹs.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelite 2,house,450 līksna,unclear,"55,9784","26,4101",0,no,ābelīte,latvian,unclear,,LĢIA 133330,n/a,no comment,"nom.sg. âbelīte, synchronically D to âbele 'apple tree.' Also a FN (LUV), cf. also Lt. Obeliẽnis (LPDB) HG Appelman (DFD) | Inherited in EB as l-stem but transferred to i- and ē-stems, cf. Lt. dial. C-st. gen.sg. obelès~obel̃s a.o., Lv. dial. i-f âbels, Lt. i-f obelìs. Outside EB we only find forms extended with n-suffix, cf. OPr. wobalne, OCS ablanь, OIr. aball, Lat. top. Abella. If 'apple tree' was lexicalized on the basis of oblique forms of *ábōl (vel sim.) 'apple' then EB forms seem archaic. | ALEW s.v. obelìs; Derksen 2015, 339; LEW 515; Mažiulis 4, 259; ME 1, 234; SEJL 831 s.v. obelìs and obuolỹs.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelites,house,348 pļaviņas,pļaviņas,"56,5968","25,6378",0,no,ābelītes,latvian,unclear,,LĢIA unreg.,n/a,no comment,,,,,,,,,,,,
abelites 1,house,357 krustpils,unclear,"56,5291","25,8373",50,no,ābelītes,latvian,unclear,,LĢIA unreg.,n/a,no comment,"nom.-acc.pl. of âbelīte, synchronically D to âbele 'apple tree.' Also a FN (LUV), cf. also Lt. Obeliẽnis (LPDB) HG Appelman (DFD) | Inherited in EB as l-stem but transferred to i- and ē-stems, cf. Lt. dial. C-st. gen.sg. obelès~obel̃s a.o., Lv. dial. i-f âbels, Lt. i-f obelìs. Outside EB we only find forms extended with n-suffix, cf. OPr. wobalne, OCS ablanь, OIr. aball, Lat. top. Abella. If 'apple tree' was lexicalized on the basis of oblique forms of *ábōl (vel sim.) 'apple' then EB forms seem archaic. | ALEW s.v. obelìs; Derksen 2015, 339; LEW 515; Mažiulis 4, 259; ME 1, 234; SEJL 831 s.v. obelìs and obuolỹs.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelites 2,house,436 līvāni,unclear,"56,4009","26,1193",0,no,ābelītes,latvian,yes,,LĢIA 133138,n/a,no comment,"nom.-acc.pl. of âbelīte, synchronically D to âbele 'apple tree.' Also a FN (LUV), cf. also Lt. Obeliẽnis (LPDB) HG Appelman (DFD) | Inherited in EB as l-stem but transferred to i- and ē-stems, cf. Lt. dial. C-st. gen.sg. obelès~obel̃s a.o., Lv. dial. i-f âbels, Lt. i-f obelìs. Outside EB we only find forms extended with n-suffix, cf. OPr. wobalne, OCS ablanь, OIr. aball, Lat. top. Abella. If 'apple tree' was lexicalized on the basis of oblique forms of *ábōl (vel sim.) 'apple' then EB forms seem archaic. | ALEW s.v. obelìs; Derksen 2015, 339; LEW 515; Mažiulis 4, 259; ME 1, 234; SEJL 831 s.v. obelìs and obuolỹs.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelkalni,house,444 nīcgale (part of 450 līksna until 1936),unclear,"56,1508","26,3426",0,no,ābeļkalni,latvian,unclear,,LĢIA 126897,n/a,no comment,"nom.pl. of ābeļkalns 'apple tree hill.' Also a surname (LUV), probably referring to someone living on or near an apple tree hill. | Compound of âbele 'apple tree' and kal̂ns 'hill, mountain.' | AK.",no comment,inherited,reliable,original word,latvian,apple tree hill,fruits; landscape,yes,modern,no comment,aigars
abelu kapi,cemetery,356 ābeļi,unclear,"56,4709","25,9120",0,no,ābeļu kapi,latvian,yes,,LĢIA 77072,n/a,no comment,"pl.tant. 'Ābeļi cemetery' | Syntagm of gen. of pl.tant. top. Ābeļi and nom.pl. of kaps 'grave; (pl.) cemetery.' Ābeļi is the nom.pl. of surname Ābelis (LUV), a Motionsmaskulinum to âbele 'apple tree,' cf. also Lt. Obelis (LPDB) HG Apfelbaum (DFD). Exists only as surname and toponym. | LPV 39; LVV 1, 61 s.v. âbele.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
